iter	Accuracy	Logloss
93	0.8060755337	0.5179147905
94	0.8057471264	0.5169122906
95	0.8057471264	0.5160306583
96	0.8057471264	0.5150936233
97	0.8067323481	0.5141335774
98	0.8064039409	0.513116886
99	0.8064039409	0.5123675066
100	0.8068965517	0.5114870369
101	0.8073891626	0.5106655779
102	0.8072249589	0.5097601328
103	0.8075533662	0.5088322782
104	0.8078817734	0.5079399823
105	0.8085385878	0.507021789
106	0.8090311987	0.5060988653
107	0.8090311987	0.5051960662
108	0.8090311987	0.5043681528
109	0.810180624	0.5035431259
110	0.811001642	0.5026231287
111	0.8113300493	0.5017862354
112	0.8116584565	0.5009766427
113	0.8124794745	0.5000439774
114	0.8121510673	0.4991760154
115	0.8128078818	0.498458707
116	0.8128078818	0.4976971806
117	0.813136289	0.4969182558
118	0.8128078818	0.4961170015
119	0.813136289	0.4953363929
120	0.8134646962	0.4945558645
121	0.8142857143	0.493757216
122	0.8139573071	0.4929657433
123	0.8134646962	0.4921800034
124	0.8136288998	0.4914303033
125	0.8136288998	0.4906618015
126	0.8141215107	0.4899640564
127	0.8151067323	0.4891899021
128	0.8155993432	0.4884436897
129	0.815270936	0.4877251786
130	0.8164203612	0.4869936788
131	0.816091954	0.4862325133
132	0.8165845649	0.4855354096
133	0.8169129721	0.4848620385
134	0.8170771757	0.4842370946
135	0.8165845649	0.4835082807
136	0.8167487685	0.4828504641
137	0.8167487685	0.4821808613
138	0.8167487685	0.4813912728
139	0.8178981938	0.4807001825
140	0.8187192118	0.4801162895
141	0.8203612479	0.4794415955
142	0.8200328407	0.4787616498
143	0.8206896552	0.4780419762
144	0.8206896552	0.4774386401
145	0.8210180624	0.4768163822
146	0.8216748768	0.4762489256
147	0.8215106732	0.4756577365
148	0.8220032841	0.4750850684
149	0.8223316913	0.4744723115
150	0.8221674877	0.4738057555
151	0.8221674877	0.473166981
152	0.8221674877	0.4725109282
153	0.8226600985	0.4720090569
154	0.8228243021	0.4714090482
155	0.8228243021	0.4708108435
156	0.8229885057	0.4702660371
157	0.8224958949	0.4695934678
158	0.8234811166	0.4690265324
159	0.824137931	0.4684670134
160	0.8238095238	0.4678676862
161	0.8246305419	0.4671773575
162	0.8246305419	0.4666158341
163	0.8252873563	0.466110916
164	0.8259441708	0.4655348003
165	0.8261083744	0.4650238689
166	0.8259441708	0.4645001491
167	0.8251231527	0.4640481482
168	0.8259441708	0.463553092
169	0.8252873563	0.4630201117
170	0.8254515599	0.4625142716
171	0.8256157635	0.4620463955
172	0.8261083744	0.4614713221
173	0.8264367816	0.4609910185
174	0.8259441708	0.4604360295
175	0.8267651888	0.4599924874
176	0.8266009852	0.459503244
177	0.8267651888	0.4589741925
178	0.8266009852	0.4584456621
179	0.8270935961	0.4578876264
180	0.8274220033	0.4573824677
181	0.8277504105	0.4568816387
182	0.8282430213	0.4564791474
183	0.8280788177	0.4560227768
184	0.8280788177	0.455583444
185	0.828407225	0.4550966059
186	0.8290640394	0.4545691179
187	0.8288998358	0.4540182179
188	0.829228243	0.4535677404
189	0.8295566502	0.4530762521
190	0.8297208539	0.4527003396
191	0.8300492611	0.4522347486
192	0.8298850575	0.4518096874
193	0.8302134647	0.4512749432
194	0.8297208539	0.450777642
195	0.8298850575	0.4503172225
196	0.8305418719	0.4498556804
197	0.8307060755	0.4494263297
198	0.8307060755	0.4489783777
199	0.8308702791	0.4485131876
200	0.8311986864	0.4480340466
201	0.8318555008	0.4475310127
202	0.8320197044	0.4470725575
203	0.8323481117	0.4466134608
204	0.8328407225	0.4461315537
205	0.8331691297	0.4456756241
206	0.8331691297	0.4451911914
207	0.8330049261	0.4447591146
208	0.8336617406	0.4443486456
209	0.8334975369	0.4439381366
210	0.8338259442	0.4435256231
211	0.8344827586	0.4431141921
212	0.8344827586	0.4426628326
213	0.8344827586	0.4422549293
214	0.8346469622	0.4418991415
215	0.8348111658	0.4415136478
216	0.8349753695	0.4411623499
217	0.8349753695	0.4407024916
218	0.8356321839	0.4402623971
219	0.8354679803	0.4397861825
220	0.8349753695	0.439435967
221	0.8353037767	0.439031792
222	0.8353037767	0.4386133053
223	0.8349753695	0.4382186313
224	0.8354679803	0.4378484917
225	0.8359605911	0.4374488467
226	0.8361247947	0.4370643152
227	0.8357963875	0.436655971
228	0.8369458128	0.4361938677
229	0.836453202	0.4357715325
230	0.8367816092	0.4353536872
231	0.8366174056	0.4349650266
232	0.8369458128	0.4344945447
233	0.8369458128	0.4340770602
234	0.8374384236	0.4336817048
235	0.8377668309	0.433280336
236	0.8377668309	0.4329284367
237	0.8379310345	0.4325024935
238	0.8380952381	0.4321124298
239	0.8380952381	0.4317136667
240	0.8389162562	0.4312405791
241	0.8385878489	0.430773585
242	0.8380952381	0.430487712
243	0.8380952381	0.4301284364
244	0.839408867	0.4297560117
245	0.8395730706	0.4294013463
246	0.8397372742	0.4290046679
247	0.8397372742	0.4285997713
248	0.8395730706	0.4282331595
249	0.8397372742	0.4277763079
250	0.839408867	0.4274271747
251	0.8402298851	0.4270234407
252	0.8389162562	0.4265784954
253	0.8395730706	0.4261899149
254	0.839408867	0.4258310002
255	0.839408867	0.425457012
256	0.8397372742	0.4250981774
257	0.839408867	0.4248051285
258	0.839408867	0.4244580399
259	0.8402298851	0.4241133165
260	0.8399014778	0.4237517559
261	0.8405582923	0.4234337317
262	0.8405582923	0.4231041619
263	0.841543514	0.4227399153
264	0.8410509031	0.4223785551
265	0.8410509031	0.4220436936
266	0.8418719212	0.421705665
267	0.8412151067	0.4214245626
268	0.8420361248	0.4210727034
269	0.8430213465	0.4206419495
270	0.8438423645	0.4202584603
271	0.8436781609	0.4198761738
272	0.8431855501	0.4195566262
273	0.8438423645	0.4192301031
274	0.8440065681	0.4189114776
275	0.8436781609	0.418561703
276	0.8438423645	0.4182407523
277	0.8440065681	0.4178926615
278	0.844499179	0.4175855815
279	0.8443349754	0.4172592589
280	0.8443349754	0.416903912
281	0.844499179	0.4166250946
282	0.844499179	0.4162397212
283	0.844499179	0.4159613849
284	0.844499179	0.4155952541
285	0.8451559934	0.4152403482
286	0.8449917898	0.4149105379
287	0.8451559934	0.4146540499
288	0.8458128079	0.4143343821
289	0.8461412151	0.4139631199
290	0.8456486043	0.4136894339
291	0.8459770115	0.4132873435
292	0.8464696223	0.412970562
293	0.8469622332	0.4126161372
294	0.8472906404	0.412327057
295	0.8471264368	0.412038017
296	0.8471264368	0.4117405583
297	0.8469622332	0.4114549659
298	0.8471264368	0.4110591694
299	0.8469622332	0.4107744189
300	0.8472906404	0.4104436464
301	0.8479474548	0.4101176846
302	0.8477832512	0.4098391478
303	0.8484400657	0.4094875693
304	0.8482758621	0.4091055233
305	0.8489326765	0.4087719045
306	0.8490968801	0.4084377245
307	0.8487684729	0.4081486844
308	0.8494252874	0.4078547937
309	0.8489326765	0.407485095
310	0.8494252874	0.407173966
311	0.849589491	0.4068666054
312	0.8494252874	0.4065506658
313	0.8499178982	0.4063436073
314	0.8502463054	0.4060558501
315	0.850410509	0.4057828455
316	0.8500821018	0.4054497479
317	0.8507389163	0.4051326056
318	0.8507389163	0.4048251648
319	0.8502463054	0.4045006061
320	0.8502463054	0.404185348
321	0.8507389163	0.4038769852
322	0.8509031199	0.4035818116
323	0.8507389163	0.4033301743
324	0.8512315271	0.4030383281
325	0.8510673235	0.402697774
326	0.8510673235	0.4024497447
327	0.8510673235	0.4022050829
328	0.8509031199	0.4019058202
329	0.8518883415	0.4017006459
330	0.8518883415	0.4014275612
331	0.8517241379	0.4011844629
332	0.8520525452	0.4008485991
333	0.8522167488	0.4005742717
334	0.8527093596	0.4002655079
335	0.852545156	0.4000106235
336	0.8528735632	0.3997625141
337	0.852545156	0.3995232643
338	0.8528735632	0.3992723487
339	0.8527093596	0.3989522799
340	0.8527093596	0.398682282
341	0.8530377668	0.3983902353
342	0.8538587849	0.3981109369
343	0.8535303777	0.3978428632
344	0.8535303777	0.3975982816
345	0.8543513957	0.3973998422
346	0.854679803	0.397141911
347	0.8553366174	0.3968820957
348	0.8551724138	0.3966482178
349	0.854679803	0.3963489551
350	0.8550082102	0.3960748682
351	0.8551724138	0.3958330928
352	0.8548440066	0.3955278168
353	0.8556650246	0.3952173293
354	0.8553366174	0.395019411
355	0.8551724138	0.3946895205
356	0.8561576355	0.3944360793
357	0.8558292282	0.3941781481
358	0.8561576355	0.3939494817
359	0.8564860427	0.3936586778
360	0.8564860427	0.3933181637
361	0.8563218391	0.3930074357
362	0.8563218391	0.3927657805
363	0.8568144499	0.3924578186
364	0.8566502463	0.3921954376
365	0.8566502463	0.3918920457
366	0.8569786535	0.391598636
367	0.8571428571	0.3913219433
368	0.8574712644	0.3910452105
369	0.857635468	0.3908166644
370	0.857635468	0.3905610985
371	0.857635468	0.3902894169
372	0.8581280788	0.3900047866
373	0.8582922824	0.3897522273
374	0.8577996716	0.3895214363
375	0.8579638752	0.3892881998
376	0.857635468	0.3890500725
377	0.8579638752	0.3888232101
378	0.8581280788	0.3885523303
379	0.8579638752	0.3883496014
380	0.8581280788	0.3881119952
381	0.8587848933	0.3877872361
382	0.8597701149	0.3875038886
383	0.8597701149	0.3872850841
384	0.8597701149	0.3870480392
385	0.8596059113	0.3868087493
386	0.8597701149	0.3865708224
387	0.8599343186	0.3863116485
388	0.8597701149	0.3860659444
389	0.8596059113	0.385810138
390	0.8592775041	0.3856203978
391	0.8594417077	0.3853643909
392	0.8597701149	0.3851261433
393	0.8597701149	0.384863602
394	0.8597701149	0.3846020628
395	0.8592775041	0.384339321
396	0.8597701149	0.3841051625
397	0.8600985222	0.3837979622
398	0.8604269294	0.3835890596
399	0.860591133	0.3833269592
400	0.860591133	0.3830462977
401	0.8602627258	0.3827869635
402	0.860591133	0.382512195
403	0.8609195402	0.3822545846
404	0.8609195402	0.3819833038
405	0.8610837438	0.3817158716
406	0.8609195402	0.3814479584
407	0.8614121511	0.3812319601
408	0.8612479475	0.3809895032
409	0.8610837438	0.3807965559
410	0.8615763547	0.3805186204
411	0.8617405583	0.3802216829
412	0.8615763547	0.3800062057
413	0.8617405583	0.3798101716
414	0.8622331691	0.37950686
415	0.8620689655	0.3792751469
416	0.8619047619	0.3790009798
417	0.8619047619	0.3787172314
418	0.8615763547	0.3784813892
419	0.8614121511	0.3782773373
420	0.8617405583	0.3780834279
421	0.8617405583	0.3778369221
422	0.8622331691	0.3775759442
423	0.8625615764	0.3773064674
424	0.8623973727	0.3770153829
425	0.8625615764	0.3768174646
426	0.8628899836	0.3765537206
427	0.8630541872	0.3763088182
428	0.86272578	0.3760732967
429	0.8628899836	0.3758740154
430	0.8628899836	0.3756419014
431	0.8628899836	0.3754234978
432	0.863546798	0.3751696557
433	0.8637110016	0.3749288424
434	0.8638752053	0.3747029021
435	0.8638752053	0.3744161471
436	0.8645320197	0.3742419213
437	0.8640394089	0.373987518
438	0.8646962233	0.3737592926
439	0.8640394089	0.3735357576
440	0.8646962233	0.3733556387
441	0.8643678161	0.373102438
442	0.8645320197	0.372862186
443	0.8646962233	0.3726412969
444	0.8646962233	0.3724311515
445	0.8650246305	0.3722382043
446	0.8650246305	0.3720549184
447	0.8655172414	0.3718236463
448	0.8653530378	0.3715569758
449	0.8655172414	0.3712973208
450	0.8661740558	0.3710688148
451	0.8660098522	0.3708416317
452	0.8660098522	0.3705873085
453	0.8661740558	0.3703853012
454	0.8660098522	0.3702196945
455	0.8660098522	0.3700204934
456	0.8658456486	0.3698061387
457	0.8665024631	0.3695330941
458	0.8666666667	0.3693102807
459	0.8668308703	0.3691080729
460	0.8673234811	0.3689223817
461	0.8676518883	0.3687384544
462	0.867816092	0.3685193292
463	0.8671592775	0.3682882976
464	0.867816092	0.3680429142
465	0.8681444992	0.3678294014
466	0.8679802956	0.3676536522
467	0.8679802956	0.3674594622
468	0.8679802956	0.3672744125
469	0.867816092	0.3670960976
470	0.867816092	0.366872763
471	0.8681444992	0.3666147116
472	0.8688013136	0.3664007979
473	0.8689655172	0.366176862
474	0.8689655172	0.3659942176
475	0.8688013136	0.36581919
476	0.86863711	0.3656266837
477	0.8689655172	0.3653824629
478	0.8691297209	0.3651920413
479	0.8694581281	0.3649974904
480	0.8694581281	0.3647580803
481	0.8691297209	0.3645988878
482	0.8691297209	0.3643747514
483	0.8701149425	0.3641888999
484	0.8699507389	0.3639985183
485	0.8701149425	0.363798756
486	0.8697865353	0.3636299021
487	0.8701149425	0.3633814318
488	0.8704433498	0.3631794245
489	0.8704433498	0.3629726065
490	0.8702791461	0.3628104475
491	0.8702791461	0.362595732
492	0.8699507389	0.3623456983
493	0.8701149425	0.3621122213
494	0.8711001642	0.3618626687
495	0.8709359606	0.3616933738
496	0.8717569787	0.3615019499
497	0.871592775	0.3612792167
498	0.8719211823	0.3611008617
499	0.8722495895	0.360935255
500	0.8725779967	0.3607200585
501	0.8725779967	0.3604974455
502	0.8724137931	0.3603223378
503	0.8724137931	0.3601458269
504	0.8725779967	0.35997112
505	0.8725779967	0.3597552019
506	0.8730706076	0.3595611723
507	0.8730706076	0.3593443321
508	0.8729064039	0.3591268104
509	0.8729064039	0.3589526247
510	0.8727422003	0.3587912273
511	0.8727422003	0.3585464452
512	0.8732348112	0.3583817606
513	0.8733990148	0.3581953879
514	0.873727422	0.3579847214
515	0.8733990148	0.3577690037
516	0.8735632184	0.3575750943
517	0.873727422	0.3574215142
518	0.8740558292	0.3572244378
519	0.8740558292	0.3570563055
520	0.8738916256	0.3568322894
521	0.8738916256	0.3566516093
522	0.8738916256	0.3564941406
523	0.8738916256	0.3562552917
524	0.8738916256	0.3560550082
525	0.8740558292	0.3558726444
526	0.8743842365	0.3556677507
527	0.8742200328	0.3555049101
528	0.8742200328	0.3552988538
529	0.8747126437	0.3551423873
530	0.8748768473	0.3549599032
531	0.8747126437	0.3547616642
532	0.8752052545	0.3545268643
533	0.8755336617	0.3543448212
534	0.8753694581	0.3541637001
535	0.8760262726	0.3539932426
536	0.8756978654	0.3537798902
537	0.8756978654	0.3535876244
538	0.8756978654	0.3533871004
539	0.875862069	0.3531969593
540	0.875862069	0.3530056156
541	0.8755336617	0.352832392
542	0.8756978654	0.352642692
543	0.875862069	0.3524248496
544	0.875862069	0.3522634121
545	0.8763546798	0.3520367502
546	0.8761904762	0.3518549075
